,date,TSA wait times,isPartial,Airport security,Airline checkin
0,2023-04-09,34,False,75,55
1,2023-04-16,34,False,82,63
2,2023-04-23,34,False,72,55
3,2023-04-30,29,False,81,57
4,2023-05-07,35,False,75,52
5,2023-05-14,36,False,82,68
6,2023-05-21,42,False,98,69
7,2023-05-28,40,False,87,55
8,2023-06-04,39,False,87,59
9,2023-06-11,40,False,94,67
10,2023-06-18,44,False,90,65
11,2023-06-25,56,False,96,59
12,2023-07-02,46,False,92,72
13,2023-07-09,38,False,94,80
14,2023-07-16,44,False,98,79
15,2023-07-23,37,False,90,76
16,2023-07-30,36,False,100,66
17,2023-08-06,31,False,100,57
18,2023-08-13,39,False,94,85
19,2023-08-20,33,False,85,70
20,2023-08-27,36,False,88,66
21,2023-09-03,35,False,82,67
22,2023-09-10,31,False,91,75
23,2023-09-17,37,False,86,77
24,2023-09-24,36,False,81,62
25,2023-10-01,36,False,77,78
26,2023-10-08,39,False,81,71
27,2023-10-15,36,False,81,65
28,2023-10-22,38,False,85,100
29,2023-10-29,29,False,72,63
30,2023-11-05,37,False,80,57
31,2023-11-12,43,False,75,68
32,2023-11-19,97,False,80,53
33,2023-11-26,65,False,77,82
34,2023-12-03,33,False,71,66
35,2023-12-10,42,False,74,70
36,2023-12-17,84,False,90,64
37,2023-12-24,100,False,93,76
38,2023-12-31,55,False,82,61
39,2024-01-07,36,False,73,51
40,2024-01-14,33,False,71,70
41,2024-01-21,26,False,72,67
42,2024-01-28,27,False,73,51
43,2024-02-04,28,False,73,84
44,2024-02-11,31,False,75,60
45,2024-02-18,35,False,77,74
46,2024-02-25,34,False,77,75
47,2024-03-03,41,False,80,80
48,2024-03-10,41,False,83,74
49,2024-03-17,44,False,88,60
50,2024-03-24,46,False,91,90
51,2024-03-31,42,False,86,65
52,2024-04-07,42,False,85,82
53,2024-04-14,41,True,83,75
